,,,,,,,
"COUNTY
_CODE","
COUNTY_NAME",CONST_ CODE,"
CONSTITUENCY_NAME",CAW_ CODE,"
CAW_NAME","
VOTERS",NO. OF POLLING STATIONS
9,MANDERA,44,LAFEY,216,SALA,1549,3
9,MANDERA,44,LAFEY,217,FINO,1766,5
9,MANDERA,44,LAFEY,218,LAFEY,4856,12
9,MANDERA,44,LAFEY,219,WARANQARA,3308,10
9,MANDERA,44,LAFEY,220,ALANGO GOF,2842,6
,,,,,,,
10,MARSABIT,45,MOYALE,221,BUTIYE,5971,17
10,MARSABIT,45,MOYALE,222,SOLOLO,7078,17
10,MARSABIT,45,MOYALE,223,HEILLU/MANYATTA,11813,24
10,MARSABIT,45,MOYALE,224,GOLBO,10954,27
10,MARSABIT,45,MOYALE,225,MOYALE TOWNSHIP,8979,16
10,MARSABIT,45,MOYALE,226,URAN,6592,21
10,MARSABIT,45,MOYALE,227,OBBU,4277,14
10,MARSABIT,46,NORTH HORR,228,DUKANA,7044,23
10,MARSABIT,46,NORTH HORR,229,MAIKONA,8572,30
10,MARSABIT,46,NORTH HORR,230,TURBI,5974,16
10,MARSABIT,46,NORTH HORR,231,NORTH HORR,6987,22
10,MARSABIT,46,NORTH HORR,232,ILLERET,2281,10
10,MARSABIT,47,SAKU,233,SAGANTE/JALDESA,7939,26
10,MARSABIT,47,SAKU,234,KARARE,4018,12
10,MARSABIT,47,SAKU,235,MARSABIT CENTRAL,15125,30
10,MARSABIT,48,LAISAMIS,236,LOIYANGALANI,5937,18
10,MARSABIT,48,LAISAMIS,237,KARGI/SOUTH HORR,4765,14
10,MARSABIT,48,LAISAMIS,238,KORR/NGURUNIT,8180,22
10,MARSABIT,48,LAISAMIS,239,LOGO LOGO,3411,9
10,MARSABIT,48,LAISAMIS,240,LAISAMIS,5811,16
11,ISIOLO,49,ISIOLO NORTH,241,WABERA,11947,21
11,ISIOLO,49,ISIOLO NORTH,242,BULLA PESA,12530,21
11,ISIOLO,49,ISIOLO NORTH,243,CHARI,4322,15
11,ISIOLO,49,ISIOLO NORTH,244,CHERAB,7285,30
11,ISIOLO,49,ISIOLO NORTH,245,NGARE MARA,4521,11
11,ISIOLO,49,ISIOLO NORTH,246,BURAT,10995,24
11,ISIOLO,49,ISIOLO NORTH,247,OLDO/NYIRO,4653,18
11,ISIOLO,50,ISIOLO SOUTH,248,GARBATULLA,5794,19
,,,,,,,
11,ISIOLO,50,ISIOLO SOUTH,249,KINNA,7981,19
11,ISIOLO,50,ISIOLO SOUTH,250,SERICHO,5310,17
12,MERU,51,IGEMBE SOUTH,251,MAUA,15722,29
12,MERU,51,IGEMBE SOUTH,252,KIEGOI/ANTUBOCHIU,14253,33
12,MERU,51,IGEMBE SOUTH,253,ATHIRU GAITI,12765,28
12,MERU,51,IGEMBE SOUTH,254,AKACHIU,12653,27
12,MERU,51,IGEMBE SOUTH,255,KANUNI,12773,27
12,MERU,52,IGEMBE CENTRAL,256,AKIRANG'ONDU,13756,28
12,MERU,52,IGEMBE CENTRAL,257,ATHIRU RUUJINE,17794,38
12,MERU,52,IGEMBE CENTRAL,258,IGEMBE EAST,17736,39
12,MERU,52,IGEMBE CENTRAL,259,NJIA,20428,45
12,MERU,52,IGEMBE CENTRAL,260,KANGETA,14198,31
12,MERU,53,IGEMBE NORTH,261,ANTUAMBUI,14992,33
12,MERU,53,IGEMBE NORTH,262,NTUNENE,9998,22
12,MERU,53,IGEMBE NORTH,263,ANTUBETWE KIONGO,13303,30
12,MERU,53,IGEMBE NORTH,264,NAATHU,12032,26
12,MERU,53,IGEMBE NORTH,265,AMWATHI,17025,40
12,MERU,54,TIGANIA WEST,266,ATHWANA,7815,16
12,MERU,54,TIGANIA WEST,267,AKITHII,15645,31
12,MERU,54,TIGANIA WEST,268,KIANJAI,19172,40
12,MERU,54,TIGANIA WEST,269,NKOMO,12081,24
12,MERU,54,TIGANIA WEST,270,MBEU,9401,20
12,MERU,55,TIGANIA EAST,271,THANGATHA,19291,40
12,MERU,55,TIGANIA EAST,272,MIKINDURI,16924,32
12,MERU,55,TIGANIA EAST,273,KIGUCHWA,10316,21
12,MERU,55,TIGANIA EAST,274,MUTHARA,17831,42
12,MERU,55,TIGANIA EAST,275,KARAMA,11558,28
12,MERU,56,NORTH IMENTI,276,MUNICIPALITY,21454,41
,,,,,,,
